latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-18.31979,145.33859,341.2,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,305.7,8.2,D
-18.32508,145.31035,355.4,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,306.9,10.7,D
-18.32584,145.30629,336.6,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,304.8,5.9,D
-18.31563,145.33769,339.6,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,304,5.4,D
-18.31637,145.33376,340.1,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,305.6,5.4,D
-18.31712,145.32973,355.2,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,309.5,15.1,D
-18.32091,145.30954,347.9,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,301.8,4.3,D
-18.32167,145.30545,335.1,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,289,3.4,D
-18.31367,145.325,354.4,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,307.2,15.1,D
-18.31442,145.32098,348,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,306.9,10.2,D
-18.31023,145.32022,348.4,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,300.6,7.1,D
-18.65735,143.02867,347,0.47,0.4,2020-01-06,0418,1,nominal,1.0NRT,312.1,15.6,D
-18.10818,145.63535,347,0.45,0.47,2020-01-06,0418,1,nominal,1.0NRT,298.7,6.3,D
-18.10471,145.58234,336.4,0.45,0.47,2020-01-06,0418,1,nominal,1.0NRT,299.7,2.6,D
-18.11599,145.49767,336.9,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,303.6,2.6,D
-18.08587,145.5649,342.9,0.45,0.47,2020-01-06,0418,1,nominal,1.0NRT,301.7,5.3,D
-18.08976,145.54404,344.8,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,302,10,D
-18.08241,145.55975,336.1,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,302.7,6.1,D
-18.08473,145.54733,334.1,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,301.3,8.8,D
-18.0855,145.5432,342.6,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,303.9,8.8,D
-18.07815,145.55893,352.3,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,303.1,6.1,D
-18.07893,145.55479,339.5,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,303.1,7.1,D
-18.07466,145.55399,340.9,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,301,6.2,D
-18.07545,145.54977,344.9,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,304.7,6.2,D
-18.07121,145.54886,352.2,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,303.3,6.2,D
-18.06617,145.55219,340.9,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,301.1,8.7,D
-18.06697,145.54794,347.1,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,302.8,8.7,D
-18.06272,145.54709,367,0.44,0.46,2020-01-06,0418,1,high,1.0NRT,303.7,8.7,D
-18.06192,145.55127,340.6,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,299.8,8.7,D
-18.06349,145.54295,334,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,301.1,5.5,D
-18.05922,145.54221,346.5,0.44,0.46,2020-01-06,0418,1,nominal,1.0NRT,301.3,5.5,D
-18.52333,142.5589,352.7,0.45,0.39,2020-01-06,0418,1,nominal,1.0NRT,310.3,26.5,D
-18.37882,143.33678,354.2,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,311,21.5,D
-18.37963,143.33211,344.7,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,309.3,20,D
-18.3751,143.33607,347.7,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,310.8,17.6,D
-18.20765,144.0589,346.1,0.54,0.42,2020-01-06,0418,1,nominal,1.0NRT,312.4,10.8,D
